IP,Date,Time,Accepted-cookies,Device type,Browser anguage,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
2405:201:6044:d022:948c:518f:a32a:57e2,2025-09-24,01:40:51 UTC,necessary,desktop,en,Chrome,OS X,India,UP,Uttar Pradesh,Kanpur,208025,26.4631,80.3479
2404:7c80:85:ba9e:591:29fe:b5ad:5846,2025-09-24,20:41:29 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
2401:4900:5986:84b:5508:b636:e66d:9aa5,2025-09-26,14:24:21 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Rajpura,140402,30.4757,76.5901
2404:7c80:85:eada:e077:27bb:ba54:24f0,2025-09-26,22:07:40 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
152.59.159.108,2025-09-27,00:39:31 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Jalpāiguri,735132,26.5161,88.7363
2404:7c80:85:eada:e077:27bb:ba54:24f0,2025-09-27,09:03:51 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
122.162.222.192,2025-09-27,11:48:19 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,380001,23.0276,72.5871
2406:9e00:112f:e1bc:a4d9:1915:63da:478,2025-10-01,22:16:14 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Pune,411005,18.5211,73.8502
42.108.156.124,2025-10-02,22:36:51 UTC,necessary,mobile,en,Chrome,Android,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
2409:40e1:100f:9bd5:78a4:9ff:feba:7c04,2025-10-02,22:50:36 UTC,necessary,mobile,en,Chrome,Android,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
106.200.5.151,2025-10-03,02:07:36 UTC,necessary,desktop,en,Chrome,Windows,India,UK,Uttarakhand,Dehradun,248001,30.3275,78.0325
2404:7c80:85:956c:6909:1f70:a83c:9abc,2025-10-03,06:31:37 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
2405:201:5c24:f057:c544:1286:e0a7:931a,2025-10-03,17:06:05 UTC,necessary,desktop,en,Chrome,Windows,India,RJ,Rajasthan,Jaipur,302021,26.9136,75.7858
111.90.174.102,2025-10-03,20:31:43 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Rajkot,360003,22.2904,70.7915
2406:9e00:112f:c273:8019:f1a8:1ad7:b046,2025-10-03,21:25:47 UTC,necessary,desktop,en,Edge,Windows,India,MH,Maharashtra,Pune,411005,18.5211,73.8502
49.205.253.61,2025-10-03,21:55:04 UTC,necessary,desktop,en,Chrome,Windows,India,TS,Telangana,Hyderabad,500009,17.3843,78.4583
2405:201:5c24:f057:c438:b903:b2b5:13f8,2025-10-03,23:05:53 UTC,necessary,desktop,en,Chrome,Windows,India,RJ,Rajasthan,Jaipur,302021,26.9136,75.7858
2405:201:8031:c073:2df6:c8ca:61c6:442c,2025-10-04,21:33:46 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700028,22.5643,88.3693
2405:201:8031:c073:2df6:c8ca:61c6:442c,2025-10-04,23:00:34 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700028,22.5643,88.3693
2405:201:8031:c073:2df6:c8ca:61c6:442c,2025-10-04,23:13:01 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700028,22.5643,88.3693
2409:40c1:414c:1bd6:6416:332d:fe71:c808,2025-10-05,04:56:20 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Vadodara,390001,22.3008,73.2043
2401:b200:2004:f3af:f972:3c2e:6bd3:3e6,2025-10-06,16:33:31 UTC,necessary,desktop,en,Chrome,Windows,India,KL,Kerala,Thrissur,680010,10.516,76.2157
2401:b200:2004:f3af:f972:3c2e:6bd3:3e6,2025-10-06,16:35:06 UTC,necessary,desktop,en,Chrome,Windows,India,KL,Kerala,Thrissur,680010,10.516,76.2157
2404:7c80:85:956c:c2e:505:d627:4abc,2025-10-06,23:05:59 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
2404:7c80:85:956c:c2e:505:d627:4abc,2025-10-07,07:54:16 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
103.101.213.27,2025-10-07,22:48:34 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700061,22.5643,88.3693
2409:40e1:1136:3a92:30e3:84bd:2182:9aa2,2025-10-09,01:01:57 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
2409:40e1:1136:3a92:30e3:84bd:2182:9aa2,2025-10-09,01:07:48 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
2409:40e1:1136:3a92:30e3:84bd:2182:9aa2,2025-10-09,01:12:27 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700001,22.5643,88.3693
2401:4900:1f3e:72c6:e8fe:d470:10f5:4180,2025-10-10,17:53:17 UTC,necessary,mobile,en,Chrome,Android,India,GJ,Gujarat,Ahmedabad,380001,23.0276,72.5871
103.189.103.175,2025-10-11,03:41:42 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Digha,721428,21.6248,87.5182
27.131.212.65,2025-10-13,15:06:25 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700028,22.5643,88.3693
2401:4900:1a88:3e28:94b1:95e8:c0c6:cfee,2025-10-14,21:01:21 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Bhavnagar,364001,21.764,72.1505
2404:7c80:85:cc66:b1dd:adc1:de36:7b49,2025-10-15,15:48:31 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
27.59.76.107,2025-10-15,21:28:13 UTC,necessary,desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,New Delhi,110002,28.6327,77.2198
2401:4900:1c33:d219:c5b5:342:1151:914a,2025-10-15,22:12:57 UTC,necessary,desktop,en,Chrome,Windows,India,CG,Chhattisgarh,Raipur,492015,21.2333,81.6333
2401:4900:1c33:d219:c5b5:342:1151:914a,2025-10-15,22:13:38 UTC,necessary,desktop,en,Chrome,Windows,India,CG,Chhattisgarh,Raipur,492015,21.2333,81.6333
2409:40e0:28:706a:895e:be8:5e02:18f9,2025-10-16,00:34:24 UTC,necessary,desktop,en,Chrome,Windows,India,WB,West Bengal,Kolkata,700006,22.5643,88.3693
2404:7c80:86:a7d:c529:6b46:b0f:324f,2025-10-18,08:28:56 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
103.163.198.8,2025-10-18,21:49:25 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nashik,422222,20.0024,73.7945
103.163.198.8,2025-10-18,21:50:07 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nashik,422222,20.0024,73.7945
103.163.198.8,2025-10-18,22:58:57 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nashik,422222,20.0024,73.7945
103.163.198.8,2025-10-19,01:58:44 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nashik,422222,20.0024,73.7945
103.163.198.8,2025-10-19,13:12:38 UTC,necessary,desktop,en,Chrome,Windows,India,MH,Maharashtra,Nashik,422222,20.0024,73.7945
2404:7c80:85:d0bd:3c62:ef15:2ee0:f2e0,2025-10-20,15:02:39 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
2401:4900:7924:5d07:2c53:fc5f:2339:72da,2025-10-21,14:22:15 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,380001,23.0276,72.5871
106.221.75.137,2025-10-21,19:42:07 UTC,necessary,desktop,en,Chrome,Windows,India,GJ,Gujarat,Ahmedabad,380007,23.0276,72.5871
157.48.91.59,2025-10-21,21:49:13 UTC,necessary,desktop,en,Chrome,Windows,India,RJ,Rajasthan,Jaipur,302012,26.9136,75.7858
157.48.91.59,2025-10-21,21:53:32 UTC,necessary,desktop,en,Chrome,Windows,India,RJ,Rajasthan,Jaipur,302012,26.9136,75.7858
2402:3a80:43ab:5c93:9c97:c68:b277:1d68,2025-10-21,23:30:25 UTC,necessary,desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,Delhi,110001,28.6542,77.2373
2402:3a80:43ab:5c93:9c97:c68:b277:1d68,2025-10-22,00:34:46 UTC,necessary,desktop,en,Chrome,Windows,India,DL,National Capital Territory of Delhi,Delhi,110001,28.6542,77.2373
2404:7c80:85:7129:7848:ad61:4656:5fc1,2025-10-22,20:15:46 UTC,necessary,desktop,en,Chrome,Windows,India,PB,Punjab,Jalandhar,144301,31.33,75.5844
